nama_usaha,alamat,penanggung_jawab,badan_usaha,nomor_telepon,nomor_faximili,jenis_hotel,masa_berlaku
HOTEL FAVE,Jl. KH. Samanhudi No. 26 RT. 005/003,Abujadi Hartawan,PT. Wisana Matrakarya,021 108,021 108,H Bintang 2,29-11-15
BUNGA-BUNGA,Jl. Antara No. 13,Poli Hidayat,PT. Cipta Bunga Sakti,021 34832026,021 34832026,H Bintang 2,29-11-15
BANYUWANGI SINTERA,Jl. H. Samanhudi 32 B-34,Ali Hasan,PT. Banyuwangi Sintera,021 3857551,021 3808581,H Bintang 2,29-11-15
HOLIDAY INN JAKARTA KEMAYORAN,Kompleks Rukan Puri Mutiara Blok D No. 107-108,Albert Cahyadi Sukandadinata,PT. Nusaplaza International Hotel,021 29568800,021 29560088,H Bintang 2,29-11-15
NEW TOWN,Komplek THR Lokasari B/1-18,Suwiman,PT. Graha Indo Sejahtera,021 108,021 108,H Bintang 2,04-12-15
DIRADJA HOTEL,Jl. Kapten P. Tendean No. 38 Rt. 003/005,Join Virgo Amir,PT. Puro Sembilan Sejahtera,021 79197405,021 79197405,H Bintang 2,09-12-15
HARRIS,Jl. DR. Sahardjo No. 191,Agoes Soelistyo Santoso,PT. Java Paradise Island,021 8305633,021 8305633,H Bintang 2,10-12-15
BUMI KARSA,Jl. Jend. Gatot Subroto 71-73,Budi Sasongko,PT. Hotel Bumikarsa Bidakara,021 83793554,021 837935529,H Bintang 2,10-12-15
ROYAL REGAL,Jl. Mangga Besar Raya VIII No. 27,Ny. V. Sri Sudarsih,PT. Wira Wisata Indah,021 6260868,021 6260868,H Bintang 2,10-12-15
ROYAL,Jl. Ir. H. Juanda No. 14,Naif Abdullah,PT. Royal Hotel,021 3804301,021 3804300,H Bintang 2,10-12-15
PRIMA INDAH,Jl. Gunung Sahari Raya No. 19/21,"Drs. Fachrurrazi, SH",PT. Anugerah Sentosa Prima,021 6591078,021 6246348,H Bintang 2,10-12-15
MANHATTAN HOTEL,Jl. Prof. DR. Satrio - Casablanca Kuningan,Maya Ramchand,PT. Merlynn Park Hotel,021 30040888,021 30040889,H Bintang 2,10-12-15
MAX ONE HOTELS.COM @ Sabang,Jl. KH. Agus Salim No. 24,Julius Octavianus Ruslan,PT. Batavia Land,021 3166888,021 3922157,H Bintang 2,10-12-15
DANAU SUNTER,Jl. Danau Permai Raya Blok C.1,Maya Ramchand,PT. Sunter Lakeside Hotel,021 6509969,021 6509970,H Bintang 2,11-12-15
CROWNE PLAZA JAKARTA,Jl. Jend. Gatot Subroto Kav. 2&3,H. RF. Gunawan Martakoesoemah,PT. Prabu Budi Mulia,021 5268833,021 5263832,H Bintang 2,11-12-15
WHIZ HOTEL,Jl. Cikini Raya No. 6,Moedjianto Soesilo Tjahjono,PT. Estrella Lima Indonesia,021 3989555,021 39830448,H Bintang 2,11-12-15
C' ONE HOTEL CEMPAKA PUTIH,Jl. Letjen Suprapto,"Idris Sasmita, MM",PT. Jakarta Tourisindo,021 4250126,021 4213051,H Bintang 2,11-12-15
WHIZ,Ruko INKOPAL Jl. Boulevard Barat B/18,Rudy Susanto,PT. Dunia Entertainment,021 48858864,021 45858822,H Bintang 2,12-12-15
BETAWI SOFYAN,Jl. Cut Mutiah No. 9,Bagus Moeshari,PT. Sofyan Hotel Tbk,021 3905011,021 3902747,H Bintang 2,15-12-15
TRINITI JAKARTA,Jl. Pembangunan III/4-6,Henry The,PT. Bintang Triniti Nusantara,021 633111,021 63867171,H Bintang 2,15-12-15
PITAGIRI,Jl. Palmerah Barat No. 110,Tjahja Widjaja,PT. Pitagiri Raya Sejahtera,021 5359359,021 5359359,H Bintang 2,20-12-15
TEBET SOFYAN,"Jl. Prof. DR. Soepomo, SH No. 23",Bagus Moeshari,PT. Sofyan Hotels Tbk,021 8295691,021 8307495,H Bintang 2,20-12-15
FAVE HOTEL,Jl. Kemang I No. 6 RT. 011/011,Drs. H. Dalyono Nimpuno,PT. Griya Upajiwana,021 108,021 108,H Bintang 2,20-12-15
GRAND HYATT JAKARTA,Jl. MH. Thamrin Kav. 28-30 RT.001/002,J. Arnes Lukman,PT. Plaza Indonesia Realty Tbk,021 3901234,021 3809900,H Bintang 2,20-12-15
D' HOTEL,Jl. Sultan Agung No. 09 RT.004/001,Darmawan,PT. Pesona Putra Manggala,021 108,021 108,H Bintang 2,24-12-15
THE ACACIA JAKARTA,Jl. Kramat Raya No. 73-81,Hendro Sumampow,PT. Guntur Madu Tama,021 3903030,021 3903388,H Bintang 2,24-12-15
LE MERIDIEN JAKARTA,Jl. Jend. Sudirman Kav. 18 - 20,R. Kurniawati Probosutedjo,PT. Wisata Triloka Buana,021 2513131,021 5711378,H Bintang 2,24-12-15
DE RIVIER,Jl. Kalibesar Barat 44-46,Drs. Fuad Djapar,PT. Wahana Andamari,021 6904118,021 6912894,H Bintang 2,30-12-15
HOTEL SARE,Jl. Sultan Hasanuddin No. 46 RT. 003/01,Bagantara,PT. Grha Adya Nusantara,021 7250531,021 108,H Bintang 2,30-12-15
HOTEL TYLER,Jl. KH. Wahid Hasyim No. 70,Widijoso Sianandar,PT Icon Menara Samudra,021 108,021 108,H Bintang 2,31-12-15
BEST WESTERN GRAND PALACE KEMAYORAN HOTEL,Jl. Benyamin Sueb A.5,Wahjono,PT Global Pertama Sehatera,021 65860555,021 6580550,H Bintang 2,31-12-15
MERCURE CONVENTION CENTER ANCOL JAKARTA,Jl. Pantai Indah Komp. TIJA,"Andi Sofyan., SH",PT Metropolitan Realty Internasional,021 6406000,021 6406123,H Bintang 2,31-12-15
TREVA INTERNATIONAL,Jl. Menteng Raya No. 33,"Dr. H. Muslim, SH., MBA",PT. Gharmapala Putra Utama,021 31900240,021 31900241,H Bintang 3,21-01-14
THE MANSION,Kawasan Mega Kuningan Jl. Mega Kuningan Timu,Amin Maulana,PT. Sendico Wiguna Lestari,021 53668360,021 53651895,H Bintang 3,18-04-14
GRAND PARAGON,Jl. Gajah Mada No. 126,Theressia,PT. Gajah Mada Square,021 6258822,021 6252111,H Bintang 3,03-06-14
GOLDEN BOUTIQUE MELAWAI,Jl. Melawai VIII No. 6-8,Rachmat Arifin,PT. Jade Global Development,021 7234555,021 7234555,H Bintang 3,28-06-14
HOTEL GRIYA ADAMAR,Jl. TB. Simatupang RT. 011/004,Drs. H. Dalyono Nimpuno,PT. Griya Adamar,021 29529042,021 29529042,H Bintang 3,04-09-14
SAVVOYA MENTENG HOTEL,Menteng Square Tower C Jl. Matraman Raya No. 3 ,PT. Bahama Triple Eleven,Paramita Putri Diyanti,021 108,021 108,H Bintang 3,28-10-14
MARCOPOLO,Jl. Teuku Cik Ditiro No. 19,"Benny Rambe, SH",,021 31926679,021 3207138,H Bintang 3,19-11-14
PATRA JASA JAKARTA HOTEL,Jl. Jend.  Ahmad Yani No. 2 RT. 003/04,Agus Santoso,PT. Patra Jasa,021 4240608,021 3100432,H Bintang 3,10-12-14
HOTEL GRAND CITY,Jl. Pal Putih No. 197 A,Nicky Lion,PT. Sri Varita Utama,021 3146161,021 3146161,H Bintang 3,20-12-14
IBIS KEMAYORAN,Jl. Bungur Besar Raya No. 79-81,Kang Jacob Antung,PT. Asia Wisata Promosindo,021 4210111,021 4211458,H Bintang 3,20-12-14
SANTIKA TAMAN MINI INDONESIA INDAH,Jl. Pintu Masuk I TMII Indonesia Indah,Benny Halim,PT. Grawita Indonesia Indah,021 29378500,021 29378600,H Bintang 3,25-02-15
EMPORIUM BOUTIQUE HOTEL,Jl. Pecenongan No. 29,Dedy Sutandy,PT. Kandaga Asrigraha,021 38458563,021 38458563,H Bintang 3,26-03-15
PONDOK PUTRI DUYUNG,Jl. Lodan Timur No. 7,Ir. Gatot Setyowaluyo,PT. Taman Impian Jaya Ancol,021 2601680,021 2601691,H Bintang 3,08-04-15
SANNO JAKARTA AIRPORT HOTEL,Jl. Pluit Raya Selatan No. 2,Yulia Herlina,PT. Jadore Darmawangsa Raya,021 6606060,021 6604944,H Bintang 3,08-04-15
FM.1 BOUTIQUE,Jl. Let. Jend S. Parman Raya Kav. 8,Samsudin,PT. Seriatama Slipi Indah,021 5633333,021 5633580,H Bintang 3,17-06-15
O R C H A R D Z,Jl. Industri Raya No. 8,Drs. Sugiarto Hardjo,PT. Kapuas Cemerlang Maju,021 62317788,021 62317788,H Bintang 3,20-06-15
ORCHARDZ P. JAYAKARTA,Jl. P. Jayakarta Blok 44/7-8,Juanda,PT. Gaya Wahana Inti,021 6287888,021 6289558,H Bintang 3,20-06-15
HOTEL SENTRAL,Jl. Pramuka Raya Kav. 63-64,R. Imba Kusumah,PT. Prajasarana Ciptamulia,021 4225511,021 4213839,H Bintang 3,20-06-15
CIPTA II,Jl. Mampang Prapatan No. 1 A,Dra. Anny L Bernardus,PT. Kreasi Megah Cipta Sarana,021 798685,021 7989685,H Bintang 3,09-07-15
IBIS TAMARIN,Jl. KH. Wahid Hasyim No. 77,Drs. T. Bachrumsjah Hamzah,PT. Tamarindo Nusa Hotel,021 3912323,021 3157707,H Bintang 3,29-07-15
PARDEDE INTERNATIONAL,Jl. Raden Saleh I No. 9-11,Jhonny Pardede,PT. Jhonny Pardede,021 3146270,021 323868,H Bintang 3,31-07-15
IBIS MANGGA DUA,Jl. Pangerang Jayakarta/Jl. Gatep RT.003/06,Wiyandi The,PT. Pacific Corponusa,021 6250505,021 6250505,H Bintang 3,05-09-15
AMBHARA,Jl. Iskandarsyah II No. 1,Ahmad Dipoditiro,PT. Ambhara Tharuna,021 2700800,021 7200702,H Bintang 4,06-01-15
HOTEL SANTIKA PREMIERE JAKARTA,Jl. Aipda KS. Tubun No. 7,Dhaniel Heru Prabowo,PT. Grahawita Santika,021 5361777,021 5483457,H Bintang 4,04-02-15
MERCURE JAKARTA KOTA,Jl. Hayam Wuruk No. 123,Sukowati Sosrodjojo,PT. Adhi Putra Mulia,021 6248680,021 6008441,H Bintang 4,15-02-15
BEST WESTERN PREMIERE THE HIVE,Jl. DI. Panjaitan Kav. 3-4,"Ir. Budi Saddewa Soediro, MM., IR ",PT. Wika Realty,021 8192808,021 8590750,H Bintang 4,27-02-15
PULAU AYER,Pulau Air Besar,Rudy Susanto,PT. Global Ekabuana,021 3518127,021 108,H Bintang 4,17-06-15
CLASSIC,Jl. H. Samanhudi No. 43-45,Rudy Susanto,PT. Buana Mitra Usaha,021 3852000,021 3852001,H Bintang 4,17-06-15
MERCURE HOTEL,Jl. RA. Kartini/Jl. TB. Simatupang,Abby Ernest,PT. Karya Propertindo Investama,021 75915262,021 75918270,H Bintang 4,18-06-15
JAYAKARTA HOTEL,Jl. Hayam Wuruk No. 126,Kristian Pudjiadi,PT. Pudjiadi and Sons Tbk,021 6496760,021 6293000,H Bintang 4,28-06-15
GOLDEN BOUTIQUE,Jl. Angkasa No. 1 Gunung Sahari Utara,Rachmat Arifin,PT. Batara Tabaraka,021 6263001,021 6265736,H Bintang 4,02-07-15
DISCOVERY HOTEL & CONVENTION ANCOL,Jl. Lodan Timur Raya No. 07,Jeffry Chandra,PT. Marina Ancol Green Hotel,021 6453456,021 6452986,H Bintang 4,08-07-15
HOTEL MILLENNIUM SIRIH JAKARTA,Jl. H. Fachrudin No. 3,Ronnie Frans,PT. Millennium Sirih Jakarta Hotel,021 2303636,021 2303636,H Bintang 4,09-07-15
LUMIRE HOTEL,Jl. Senen  Raya 135,"Herman S Silalahi, SE ",PT. Segitiga Plaza Hotel,021 3442828,021 3442929,H Bintang 4,09-07-15
LE GRANDEUR,Jl. Mangga Dua Raya,Subagjo Hidayat,PT. Segitiga Plaza Hotel,021 6428811,021 6128822,H Bintang 4,       26/07/2015
GRAND CEMPAKA,Jl. Letjen Suprapto No. 27,"Drs. Idris Sasmita, MM ",PT. Sinar Wisata Lestari,021 4260066,021 4260055,H Bintang 4,28-08-15
CIPUTRA,Jl. Letjend S. Parman,Candra Ciputra,PT. Jakarta Tourisindo,021 5660640,021 5661172,H Bintang 4,13-09-15
TWIN PLAZA,Jl. Letjen S. Parman Kav. 93-94,Hendra Lie,PT. Ciputra Sentra,021 56960888,021 5690777,H Bintang 4,17-09-15
GRAND MERCURE,Jl. Hayam Wuruk No. 36-37,"Baharja Halim,MBA",PT. Slipi Sri Indopuri,021 3453777,021 3453777,H Bintang 4,28-10-15
REDTOP,Jl. Pecenongan No. 72,Winda Trihanny,PT. Halim Bangun Sarana Indah,021 3500077,021 3500055,H Bintang 4,04-11-15
HOTEL AMOS COZY,Jl. Melawai Raya No. 84-85,Dra. Khoe Ribka,PT. Sanggraha Dhika,021 72801367,021 72801367,H Bintang 4,20-11-15
GRAND WHIZ,Jl. Bukit Gading Raya Kav. I,Intan Nurcahya,PT. Indosemar Muliakarya,021 7397028,021 7250503,H Bintang 4,26-11-15
BEST WESTERN HOTEL & RESIDENCE,Jl. Mangga Dua Abdad 111,Iwanto Hartojo,PT. Madya Lingkar Artha,021 57932003,021 57931969,H Bintang 4,26-11-15
BUMI KARSA,Jl. Jend. Gatot Subroto 71-73,Budi Sasongko,PT. Mandiri Karya Cipta Indah,021 83793554,021 837935529,H Bintang 4,10-12-15
DANAU SUNTER,Jl. Danau Permai Raya Blok C.1,Maya Ramchand,PT. Hotel Bumikarsa Bidakara,021 6509969,021 6509970,H Bintang 4,11-12-15
THE ACACIA JAKARTA,Jl. Kramat Raya No. 73-81,Hendro Sumampow,PT. Guntur Madu Tama,021 3903030,021 3903388,H Bintang 4,24-12-15
DE RIVIER,Jl. Kalibesar Barat 44-46,Drs. Fuad Djapar,PT. Wahana Andamari,021 6904118,021 6912894,H Bintang 4,30-12-15
MERCURE CONVENTION CENTER ANCOL JAKARTA,Jl. Pantai Indah Komp. TIJA,"Andi Sofjan, SH",PT. Metropolitan Realty International,021 6406000,021 6406123,H Bintang 4,31-12-15
ATLET CENTURY PARK,Jl. Pintu Satu  Senayan,Nobertus Raharjo Mulyono,PT. Lingga Hamparan Krida,021 5712041,021 5712191,H Bintang 4,25-03-16
HOTEL SARI PAN PACIFIC,Jl. MH. Thamrin No. 6,Ir. Teddy Suratmadji,PT. Sariarthamas Hotel International,021 2301170,021 3156692,H Bintang 4,26-03-16
ALILA,Jl. Pecenongan Kav. 7-17,Donny Tjahyadikarta,PT. Sumbermitra Wisatagraha,021 2316008,021 2316007,H Bintang 4,20-05-16
HOTEL 88,Jl. Kapten Tendean No. 10 RT. 002/001,Yohan Solihin Hartana,PT. Galih Nusa,021 108,021 108,H Bintang 4,01-06-16
TRAVELLERS HOTEL JAKARTA,Jl. Pangeran Jayakarta No. 70,Subakir,PT. Bait Damai Abadi,021 6019864,021 6019876,H Bintang 4,26-07-16
INTERCONTINENTAL MID PLAZA JAKARTA,Jl. Kebembem RT. 015/06,Husin Suhaidi Teng,PT. Prima Adhitama International Devel,021 5700599,021 5734555,H Bintang 4,29-07-16
HOLIDAY INN EXPRESS CIKINI,Jl. Cikini Raya No. 66,,PT. Imesco Sejahtera Utama,021 108,021 108,H Bintang 4,05-08-16
SHERATON JAKARTA GANDARIA CITY HOTEL,"Mall Gandaria City, Jl. Sultan Iskandar Muda",,PT. Artisan Wahyu,021 108,021 108,H Bintang 4,14-08-10
KARTIKA CHANDRA,Jl. Jend. Gatot Subroto Kav. 17-20,Miana Dwi Lasmini,PT. Kartika Chandra,021 5207829,021 5223523,H Bintang 4,04-09-16
HOTEL SANTIKA PREMIERE HAYAM WURUK,Jl. Hayam Wuruk No. 122 RT.004/RW.006,,PT. Grahawita Santika,021 108,021 108,H Bintang 4,06-10-13
SWISS BEL-INN SIMATUPANG JAKARTA,Jl. RA. Kartini No. 32 RT.007/RW.07,,PT. Graha Simatupang Propertindo,021 108,021 108,H Bintang 4,09-10-15
THE DHARMAWANGSA,Jl. Brawidjaya Raya No. 39,Indrarto Kartohadiprodjo,PT. Puri Dharmawangsa Raya Hotel,021 7258151,021 7258383,H Bintang 5,12-06-14
DOUBLE TREE BY HILTON,Jl. Pegangsaan Timur No. 17,Rudiyanto Limantara,PT. Nurtirta Nusa Lestari,021 3500622,021 3500627,H Bintang 5,24-01-15
THE RITZ CARLTON,Jl. DR. Ide Agung Gde Agung Kav. E No. 1,Tan Kian,PT. Mutiara Permata Mulia,021 25518888,021 25518889,H Bintang 5,03-02-15
JW. MARRIOTT HOTEL,"Jl. DR. Ide Anak Agung Gde Agung Kav. E 1,2 No.",Tan Kian,PT. Permata Birama Sakti,021 5798888,021 5798883,H Bintang 5,03-02-15
SHANGRI-LA,Jl. Jend. Sudirman Kav. I Karet Tengsin,Yussuf,PT. Swadharma Kerry Satya,021 5707440,021 5703530,H Bintang 5,12-04-15
THE MEDIA HOTEL & TOWERS,Jl. Gunung Sahari Raya No. 3,Nasrul Darisin,PT. Grahasahari Suryajaya,021 6263001,021 6263011,H Bintang 5,22-05-15
GRAN MAHAKAM,Jl. Mahakam I No. 6 RT. 001/07,Imam Wahyu,PT. Mahakam Ekagraha,021 7209966,021 7252011,H Bintang 5,28-05-15
HOTEL PULLMAN JAKARTA CENTRAL PARK,Podomoro City Jl. Letjen S. Parman Kav. 28,Veriyanto Setiady,PT. Central Pesona Palace,021 56988888,021 56985070,H Bintang 5,21-06-15
NOVOTEL MANGGA DUA SQUARE,Jl. Gunung Sahari Raya No. 1,Ariesman Widjaja,PT. Kreasi Cipta Utama,021 62312800,021 62312800,H Bintang 5,28-06-15
GRAND MELIA JAKARTA,Jl. HR. Rasuna Said Kav. X-O No. 1-4,Johannes Suriadjaja,PT. Suryalaya Anindita International,021 5268080,021 5268181,H Bintang 5,09-07-15
HOTEL ARYADUTA SEMANGGI,Jl. Garnisun dalam No. 8,Heri Krisdiyarto,PT. Sanggraha Nusa Raya,021 2515151,021 2514090,H Bintang 5,29-07-15
MERLYNN PARK HOTEL,Jl. KH. Hasyim Ashari No. 29-31,Luhur Wibowo Hidayat,PT. Merlynn Park Hotel,021 30026888,021 30026888,H Bintang 5,09-09-15
MULIA SENAYAN,Jl. Asia Afrika No. 1,Suryati Benniardi,PT. Mulia Intan Lestari,021 5747777,021 5747885,H Bintang 5,26-09-15
BOROBUDUR JAKARTA,Jl. Lapangan Banteng Selatan No. 1,Yusuf Indradewa SH,PT. Jakarta International Hotels & Devel,021 3805555,021 3809595,H Bintang 5,12-11-15
FAIRMONT JAKARTA,Jl. Asia Afrika No. 8,Shuichi Oishi,PT. Senayan Trikarya Sempana,021 5723456,021 57900111,H Bintang 5,17-11-15
MANDARIN ORIENTAL JAKARTA,Jl. MH. Thamrin RT. 001/02,Maximilian Von Reden,PT. Jaya Mandarin Agung,021 39838888,021 5263922,H Bintang 5,26-11-15
MANHATTAN HOTEL,Jl. Prof. DR. Satrio - Casablanca Kuningan,Maya Ramchand,PT. Merlynn Park Hotel,021 30040888,021 30040889,H Bintang 5,10-12-15
CROWNE PLAZA JAKARTA,Jl. Jend. Gatot Subroto Kav. 2&3,H. RF. Gunawan Martakoesoemah,PT. Prabu Budi Mulia,021 5268833,021 5263832,H Bintang 5,11-12-15
GRAND HYATT JAKARTA,Jl. MH. Thamrin Kav. 28-30 RT.001/002,J. Arnes Lukman,PT. Plaza Indonesia Realty Tbk,021 3901234,021 3809900,H Bintang 5,20-12-15
LE MERIDIEN JAKARTA,Jl. Jend. Sudirman Kav. 18 - 20,R. Kurniawati Probosutedjo,PT. Wisata Triloka Buana,021 2513131,021 5711378,H Bintang 5,24-12-15
JS LUWANSA HOTEL,Gd. PP H. Usmar Ismail Jl. HR. Rasuna Said Kav.,Jacob Soetoyo,PT. Gesit Sarana Perkasa,021 5277344,021 5277343,H Bintang 5,11-01-16
HOTEL ARYADUTA JAKARTA,Jl. Prapatan 44-48,Jessy Quantero,PT. Lippo Karawaci Tbk,021 3858770,021 3858765,H Bintang 5,08-02-16
PULLMAN JAKARTA INDONESIA,Jl. MH. Thamrin No. 59,"Angela Meilany Basireon, SH",PT. Wisma Nusantara Internasional,021 31923650,021 3143631,H Bintang 5,28-03-16
THE SULTAN HOTEL,Jl. Jend. Gatot Subroto,Drs. Subijanto,PT. Indobuildco,021 5703600,021 5733091,H Bintang 5,05-04-16
HOTEL GRAND MERCURE KEMAYORAN,Jl. H. Benyamin Suev Kav. B6 Kota Baru Bandar K,,PT. Megah Mitra Sukses,021 108,021 108,H Bintang 5,26-05-16
THE PARK LANE JAKARTA,Jl. Casablanca Kav. 18,Lim Irianto,PT. Staco Graha,021 8282000,021 8282222,H Bintang 5,30-09-16
TUGU BATAVIA,"Jl. Kali Besar Barat No. 26,28,29,30,31,32,33",Anhar Setjadibrata,PT. Toegoe Respati,021 8113130,021 3160488,Hotel Melati,19-02-14
RYO HOTEL,Jl. Gereja Ayam No. 14,Lifi Sadikin,PT. Interalia Hotelindo,021 108,021 108,Hotel Melati,25-03-14
ZODIAK GEMINI MT. HARYONO,Jl. Otista Raya No. 60 RT. 004/012,Susanto,PT. Serenity Sarana Prima,021 78840133,021 78836452,Hotel Melati,08-04-14
F HOTEL,Jl. Panglima Polim No. 101 RT. 001/005,Muhammad Fitno,,021 108,021 108,Hotel Melati,08-04-14
OAKTREE HOTEL,Jl. Sampit V No. 03,Agnes Juniper Husada,PT. Roindo Makmur Lestari,021 72780801,021 72780805,Hotel Melati,18-04-14
GRIYA TAMAN PURING,Jl. Gandaria Tengah I No. 24,"Ir. Cahyanie Handari, SH",,021 108,021 108,Hotel Melati,07-05-14
RYOKAN,Jl. Pangeran Antasari RT. 05/09 No. 33,Djojo Hartono,,021 108,021 108,Hotel Melati,28-05-14
HOTEL LUMINOR 88,"Jl. Pecenongan No. 33, 35, 37 D, 37 EF",Fransiskus Xaverius Tommy Setiawan,PT. Pecenongan Prima Pratama,021 108,021 108,Hotel Melati,17-06-14
WISMA GKM,Jl. Kapten Tendean No. 9 RT. 005/003,Ir. Bakhri Effendi,,021 108,021 108,Hotel Melati,17-06-14
PERMATA,Jl. Sukarjo Wiryopranoto No. 5,Wijaya Mulia,PT. Maju Mandala Sakti,021 6288989,021 6288989,Hotel Melati,22-07-14
MANIKAM HOTEL,Jl. Bendungan Hilir Raya No. 76,ST. Dermaga Nusa Rangkuti,PT. Manikam Mutiara,021 70710211,021 7253853,Hotel Melati,04-09-14
MARGOT,Jl. Jaksa No.15/C,Halomoan Tambunan,PT. Margot Lestari,021 3913830,021 3913830,Hotel Melati,16-10-14
EXPRESS INN,Jl. Pinangsia Timur No. 68,Henry Lesmana,PT. Alam Lestari Jaya,021 6263007,021 6908128,Hotel Melati,18-10-14
HOTEL MOVEN FATMAWATI,Jl. RS. Fatmawati No. 2 Rt/Rw 004/05,Hendra Susanto,PT. Sigma Perkasa Hotelindo,021 108,021 108,Hotel Melati,24-12-14
W I N,Jl. Panglima Polim No. 99,Indra Suyono,PT. Win Hotel Indonesia,021 7258228,021 7268333,Hotel Melati,30-12-14
LAUTZE INDAH,Jl. Lautze No. 24,Lim Thian Long,PT. Hotel Lautze Indah,021 6258333,021 6241607,Hotel Melati,17-01-15
ASRI,Jl. Ciputat Raya No. 1,Lambertus Tauk,PT. Candilaras Aris Bintang,021 7690925,021 108,Hotel Melati,20-01-15
AMARIS,Jl. Prof. Dr. Soepomo SH No. 33 RT. 012/003,Erwin Solihin Hartana,PT. Pancha Dana Damai Sejahtera,021 108,021 108,Hotel Melati,22-01-15
CEMPAKA SARI,Jl. Letjen Suprapto No. 11,H. Iman S. Bastian,H. Iman S. Bastian,021 4204030,021 4208794,Hotel Melati,25-01-15
HARAPAN JAYA,Jl. Kramat Pulo Dlm No. 1/B .77,Hj. Lies Hamidah,Hj. Lies Hamidah,021 3909330,021 3909330,Hotel Melati,28-01-15
BUSINESS HOTEL,Jl. Tomang Raya No. 51,Arifin Siman,PT. Maju Indah Makmur,021 77771111,021 77771112,Hotel Melati,29-01-15
PONDOK WISATA INDAH,Jl. Kemang Selatan VIII/C.3,Ny. Mardiah. M,,021 71791587,021 108,Hotel Melati,03-02-15
SEHAT,Jl. Mangga Besar Raya No. 117,Dedy Kurniawan,PT. Hutama Sehat Makmur,021 6280638,021 108,Hotel Melati,03-02-15
WISMA PERMAI,Jl. Lautze No. 50 A,Sjamsoedin,,021 6282522,021 6241533,Hotel Melati,03-02-15
FAREL,Jl. Gunung Sahari II No.1,IR. William Siahaan,PT. Lintas Farel Aruan Internasional,021 42801334,021 42801334,Hotel Melati,04-02-15
PERMATA INDAH,Jl. Taman Permata Indah II Kamp.Gusti,Chaidir Yunus,PT. Pondok Permata Indah Permai,021 66600777,021 66604565,Hotel Melati,08-02-15
CEMPAKA JAYA COTTAGE,Jl. Raya Pelumpang No. 6,"Drs. Idris Sasmita, MM",PT. Jakarta Tourisindo,021 4302136,021 4302137,Hotel Melati,08-02-15
678 JAYA SENTOSA,Jl. DI Panjaitan Lingkar Cawang No. 1B,"Nia Yulicha Kurniasih, SE",PT. Enam Tujuh Delapan Jaya Sentos,021 36736669,021 36736669,Hotel Melati,08-02-15
LOSARI,Jl. KH. Hasyim Ashari No. 4141A,"Arwan Tjahjadi, IR",PT. Losari Beach Makasar,021 6322515,021 6322515,Hotel Melati,12-02-15
AMARIS,Jl. Raya Pasar Minggu No. 15 A,"Ir. Danny Budiarto, MBA",PT. Andalusia Andrawina,021 51400366,021 51400365,Hotel Melati,13-02-15
AMARIS,Jl. Gunung Sahari Raya No. 1,Ariesman Widjaja,PT. Kreasi Cipta Utama,021 62318888,021 62318899,Hotel Melati,15-02-15
AMARIS,Jl. Mangga Besar Raya No. 7911,Ronny Rambitan,PT. Lusipara Rejeki,021 6262908,021 6262907,Hotel Melati,18-02-15
FOKUS,Jl. Kebon Kacang I No. 9,Osmar Onggoputra,,021 3902944,021 3902944,Hotel Melati,18-02-15
NEW IDOLA,Jl. Pramuka Raya No. 26,Yuneva LS,Yuneva LS,021 8503232,021 8503232,Hotel Melati,22-02-15
FAVE HOTEL,"Jl. Melawai IV No. 3,5.7,9 & 11",Agus Pranonto,PT. Graha Cardo Sejati Indonesia,021 108,021 108,Hotel Melati,28-02-15
AMARIS,Jl. TB. Simatupang RT/RW 001/002,ANDY WIDJANARKO,PT. Griya Multi Investama,021 108,021 108,Hotel Melati,04-03-15
GADING INDAH,Jl. Pegangsaan Dua No. 10,Advent Bangun,PT. Adus Arto,021 4604285,021 4604285,Hotel Melati,04-03-15
PURI MEGA EXTENTION,Jl. Percetakan Negara VII No. 11,Bambang Siswanto,PT. Sentralcipta Propertindo,021 4259204,021 4259204,Hotel Melati,04-03-15
AMARIS,Gd. Thamrin City Lt. 6 & 6A Blok HT No. 01  Jl. K,Indra Wijaya,PT. Central Indah Palace,021 3929966,021 3907592,Hotel Melati,13-03-15
CALIFORNIA,Jl. Mangga Besar Raya No. 100 BC RT. 002/010,Jefri Tobing,PT. Californian Inti Persada,021 6120555,021 62303450,Hotel Melati,22-03-15
ILHAM,Jl. Kalibaru Timur IV/39,H.Abu Syufian Zulkifli,,021 4258566,021 4258566,Hotel Melati,26-03-15
LABU INDAH,Jl. Labu No. 4951  Mabes Barat,Lim Haruman Halim,,021 6009250,021 6009253,Hotel Melati,26-03-15
MENARA PONDOK INDAH,Jl. Metro Pondok Indah Sektor  II Blok. SA,Johannes Peddy Wongsowidjojo,PT. Pondok Indah Tower,021 7500382,021 7500382,Hotel Melati,27-03-15
ALAMANDA,Jl. Aipda KS. Tubun No. 47,Dr. Azis Mashabi,ALAMANDA,021 5709210,021 5702713,Hotel Melati,01-04-15
d' ARCICI HOTEL,Jl. Sunter Permai Raya No. 1 A,"Drs. Idris Sasmita, MM",PT. Jakarta Tourisindo,021 6519960,021 6518704,Hotel Melati,05-04-15
HOTEL ATT,"Jl. T. Bagus Angke, Kp. Gusti No. 1",Erics Phie,PT. Anugrah Tahta Tri Tunggal,021 6681679,021 6681679,Hotel Melati,10-04-15
